Name,Position,PositionRank,ProjectedPoints,ByeWeek
Jets D/ST,D/ST,18,6.03,12
Keenan Allen,WR,34,0.0,
Kyle Pitts,TE,15,8.39,12
Lions D/ST,D/ST,12,5.5,5
Jerome Ford,RB,33,6.2,10
Trey Benson,RB,70,8.49,11
Justin Tucker,K,12,0.0,
Tyler Allgeier,RB,43,8.7,12
Jaydon Blue,RB,0,5.84,7
Darnell Mooney,WR,31,10.91,12
Jack Bech,WR,0,10.21,10
Blake Corum,RB,80,6.3,6
Jalen McMillan,WR,55,6.9,11
Cedric Tillman,WR,90,10.42,10
Bhayshul Tuten,RB,0,5.11,12
Buccaneers D/ST,D/ST,17,6.21,11
Tua Tagovailoa,QB,21,16.11,6
Quentin Johnston,WR,39,7.79,5
Matthew Stafford,QB,19,16.25,6
Zane Gonzalez,K,38,0.0,
Ray Davis,RB,40,6.55,12
Tyler Loop,K,0,8.21,14
Pat Freiermuth,TE,9,9.66,9
Jayden Higgins,WR,0,9.93,14
Xavier Legette,WR,60,10.4,11
Bills D/ST,D/ST,7,5.12,12
MarShawn Lloyd,RB,127,7.82,10
Hunter Henry,TE,12,9.2,14
Zach Ertz,TE,7,7.81,
Amari Cooper,WR,63,0.0,
Wan'Dale Robinson,WR,36,10.84,11
Mike Gesicki,TE,13,8.6,12
Chiefs D/ST,D/ST,13,5.4,6
DeAndre Hopkins,WR,48,6.44,14
49ers D/ST,D/ST,21,5.58,9
Luther Burden III,WR,0,8.07,7
Rashod Bateman,WR,40,9.03,14
Joshua Karty,K,15,8.06,6
Cade Otton,TE,14,8.43,11
Colts D/ST,D/ST,25,5.78,14
Nick Chubb,RB,60,0.0,
Raheem Mostert,RB,56,3.68,10
Sam Darnold,QB,9,14.62,10
Michael Penix Jr.,QB,47,14.66,12
Shedeur Sanders,QB,0,14.37,10
Bryce Young,QB,20,15.45,11
Trevor Lawrence,QB,27,16.57,12
Tre Harris,WR,0,9.23,5
Isaiah Likely,TE,16,6.96,14
Giants D/ST,D/ST,24,4.86,11
Jaxson Dart,QB,0,14.49,11
Mike Williams,WR,107,8.69,5
Geno Smith,QB,14,15.74,10
Jaleel McLaughlin,RB,45,8.56,14
Chargers D/ST,D/ST,9,5.4,5
Jason Myers,K,11,7.93,10
Cowboys D/ST,D/ST,16,3.7,7
Wil Lutz,K,8,7.88,14
Brandon McManus,K,27,7.96,10
Rico Dowdle,RB,23,3.9,11
Tyler Lockett,WR,66,7.34,5
Anthony Richardson,QB,25,17.72,14
Justice Hill,RB,37,8.68,14
Kyle Williams,WR,0,5.24,14
Will Reichard,K,17,7.8,6
Chig Okonkwo,TE,21,8.58,5
Roschon Johnson,RB,54,9.29,7
Evan McPherson,K,29,8.0,12
Romeo Doubs,WR,56,8.47,10
Jaylen Wright,RB,94,6.23,6
Rams D/ST,D/ST,11,4.63,6
Raiders D/ST,D/ST,28,5.16,10
Bears D/ST,D/ST,14,3.98,7
Kendre Miller,RB,89,9.45,12
Dalton Schultz,TE,20,7.69,14
Sincere McCormick,RB,92,2.76,10
Matt Gay,K,13,8.2,
Browns D/ST,D/ST,27,3.96,10
Younghoe Koo,K,22,7.49,12
Antonio Gibson,RB,44,2.38,14
Mason Taylor,TE,0,6.78,12
Daniel Carlson,K,10,7.64,10
Commanders D/ST,D/ST,23,3.66,
Devin Singletary,RB,46,2.21,11
Cole Kmet,TE,19,2.98,7
Brenton Strange,TE,31,8.23,12
Falcons D/ST,D/ST,21,4.78,12
Cardinals D/ST,D/ST,19,5.32,11
Braelon Allen,RB,51,4.98,12
Aaron Rodgers,QB,15,13.46,
Jalen Milroe,QB,0,7.91,10
DeMario Douglas,WR,47,8.42,14
Russell Wilson,QB,24,15.0,11
Jonathon Brooks,RB,114,8.57,11
Cam Little,K,18,7.87,12
Pat Bryant,WR,0,5.59,14
Jake Moody,K,23,7.4,9
Zack Moss,RB,52,7.47,12
Christian Watson,WR,76,7.03,10
Brandin Cooks,WR,96,8.04,12
Miles Sanders,RB,55,3.87,7
Tyler Higbee,TE,65,7.73,6
Jalen Tolbert,WR,45,4.95,7
Tank Dell,WR,51,0.0,14
Andres Borregales,K,0,7.48,14
Jalen Coker,WR,83,4.82,11
Dylan Sampson,RB,0,3.54,10
Jaguars D/ST,D/ST,31,4.53,12
Joshua Palmer,WR,74,5.58,12
Woody Marks,RB,0,7.4,14
Allen Lazard,WR,59,7.1,12
Noah Fant,TE,26,7.39,10
KaVontae Turpin,WR,77,4.93,7
Bengals D/ST,D/ST,15,4.56,12
Gabe Davis,WR,111,0.0,
Adonai Mitchell,WR,112,6.15,14
Ray-Ray McCloud III,WR,50,7.87,12
Audric Estime,RB,68,2.8,14
Will Howard,QB,0,0.0,9
Darius Slayton,WR,73,7.64,11
Tre Tucker,WR,58,6.23,10
Juwan Johnson,TE,17,7.63,12
Nick Westbrook-Ikhine,WR,54,7.85,6
Kenneth Gainwell,RB,61,1.63,9
Dontayvion Wicks,WR,72,2.83,10
Michael Wilson,WR,61,8.33,11
Dawson Knox,TE,42,3.71,12
Noah Gray,TE,22,4.61,6
Will Shipley,RB,104,4.97,5
Trevor Etienne,RB,0,2.06,11
Terrance Ferguson,TE,0,2.6,6
Ja'Tavion Sanders,TE,36,6.2,11
Andrei Iosivas,WR,68,6.92,12
Alec Pierce,WR,43,5.29,14
Alexander Mattison,RB,32,4.2,6
Elijah Arroyo,TE,0,3.99,10
Diontae Johnson,WR,86,7.18,10
Kayshon Boutte,WR,65,3.06,14
Derek Carr,QB,26,14.87,12
Taysom Hill,TE,29,0.0,12
Tutu Atwell,WR,79,6.82,6
Saints D/ST,D/ST,29,4.44,12
Theo Johnson,TE,37,7.06,11
AJ Dillon,RB,0,1.8,5
Kirk Cousins,QB,23,7.33,12
Dillon Gabriel,QB,0,14.25,10
Calvin Austin III,WR,69,7.14,9
Tyler Conklin,TE,18,6.16,5
Noah Brown,WR,87,5.85,
Tyler Shough,QB,0,15.47,12
Harold Fannin Jr.,TE,0,2.91,10
Titans D/ST,D/ST,26,4.53,5
JuJu Smith-Schuster,WR,113,2.5,6
Dameon Pierce,RB,73,2.53,14
Marquez Valdes-Scantling,WR,89,5.22,10
Luke McCaffrey,WR,126,4.34,
Panthers D/ST,D/ST,32,3.52,11
Tim Patrick,WR,84,4.59,5
Michael Mayer,TE,52,6.13,10
Joe Milton III,QB,54,8.48,7
Jameis Winston,QB,29,6.15,11
Jalen Royals,WR,0,1.11,6
Troy Franklin,WR,98,3.89,14
Jaylin Noel,WR,0,3.66,14
Ty Johnson,RB,50,5.03,12
Dustin Hopkins,K,30,6.96,10
Sean Tucker,RB,57,2.78,11
Joe Flacco,QB,34,0.0,10
Mason Rudolph,QB,37,6.18,9
Ben Sinnott,TE,80,4.44,
Ollie Gordon II,RB,0,0.68,6
Blake Grupe,K,16,7.68,12
DJ Giddens,RB,0,3.06,14
Elic Ayomanor,WR,0,3.49,5
Jahan Dotson,WR,118,2.95,5
Daniel Jones,QB,28,15.93,14
Dont'e Thornton Jr.,WR,0,2.5,10
Graham Gano,K,35,7.3,11
Isaac TeSlaa,WR,0,1.25,5
Keaton Mitchell,RB,115,2.38,14
Cordarrelle Patterson,RB,75,2.74,9
Savion Williams,WR,0,1.25,10
Kimani Vidal,RB,82,0.98,5
Devaughn Vele,WR,75,3.04,14
Elijah Mitchell,RB,0,2.26,6
Will Dissly,TE,23,5.0,5
Jordan Whittington,WR,114,5.66,6
Samaje Perine,RB,53,3.86,12
Kyle Juszczyk,RB,62,1.62,9
Chad Ryland,K,19,7.51,11
John Metchie III,WR,109,0.59,14
Luke Musgrave,TE,87,2.86,10
Parker Washington,WR,81,6.61,12
Clyde Edwards-Helaire,RB,110,3.22,12
Ty Chandler,RB,91,2.05,6
Tez Johnson,WR,0,0.0,11
Roman Wilson,WR,216,3.43,9
Zamir White,RB,87,1.06,10
Emanuel Wilson,RB,47,2.18,10
Malachi Corley,WR,189,4.16,12
Elijah Moore,WR,67,2.42,12
Demarcus Robinson,WR,62,4.92,9
Will Levis,QB,30,7.18,5
Jalen Nailor,WR,78,3.87,6
Devin Neal,RB,0,1.07,12
Curtis Samuel,WR,102,3.6,12
Jimmy Horn Jr.,WR,0,0.58,11
Jarquez Hunter,RB,0,1.34,6
Kendrick Bourne,WR,99,2.61,14
Jordan James,RB,0,0.9,9
Ja'Lynn Polk,WR,128,0.6,14
Kenny Pickett,QB,50,13.12,10
Spencer Shrader,K,42,7.72,14
Kyle Monangai,RB,0,0.86,7
Matthew Wright,K,33,7.7,11
Brashard Smith,RB,0,0.66,6
Isaiah Davis,RB,71,2.56,12
Olamide Zaccheaus,WR,70,1.2,7
Jonathan Mingo,WR,129,1.72,7
Deshaun Watson,QB,40,0.0,10
Treylon Burks,WR,174,1.22,5
Quinn Ewers,QB,0,0.0,6
Van Jefferson,WR,103,4.77,5
Gunnar Helm,TE,0,2.4,5
Greg Dortch,WR,85,4.52,11
Jermaine Burton,WR,153,3.66,12
Dyami Brown,WR,97,5.86,12
John Parker Romo,K,36,0.0,14
Tahj Brooks,RB,0,0.81,12
Austin Hooper,TE,24,3.92,14
Darnell Washington,TE,48,4.2,9
Khalil Herbert,RB,84,0.01,14
Tai Felton,WR,0,1.83,6
Patrick Taylor Jr.,RB,86,1.93,9
Hunter Renfrow,WR,0,0.0,11
Jalin Hyatt,WR,157,1.56,11
Chimere Dike,WR,0,4.18,5
Luke Schoonmaker,TE,43,2.25,7
Rondale Moore,WR,0,2.58,6
Jude McAtamney,K,43,0.0,11
Craig Reynolds,RB,100,2.01,5
